Anio,temp_promedio,temp_maxima,temp_minima
1893,-0.49495833333333333,-0.2528,-1.04
1894,-0.47875,-0.3547,-0.6305
1895,-0.4418416666666667,-0.3124,-0.6363
1896,-0.27858333333333335,-0.0825,-0.5803
1897,-0.25464166666666666,-0.1087,-0.4533
1898,-0.4740333333333333,-0.1852,-0.8334
1899,-0.3443,-0.0465,-0.5634
1900,-0.23015833333333333,-0.0578,-0.4812
1901,-0.28715833333333335,-0.1648,-0.4657
1902,-0.4373916666666666,-0.2241,-0.5539
1903,-0.5352166666666667,-0.2346,-0.7082
1904,-0.5970583333333334,-0.392,-0.797
1905,-0.40595000000000003,-0.2154,-0.7155
1906,-0.315375,-0.1003,-0.5309
1907,-0.49948333333333333,-0.3322,-0.6375
1908,-0.5065583333333333,-0.3833,-0.6967
1909,-0.5329083333333333,-0.3285,-0.7548
1910,-0.5220833333333333,-0.3908,-0.7446
1911,-0.5398,-0.3029,-0.7647
1912,-0.47615,-0.2903,-0.685
1913,-0.46351666666666663,-0.1501,-0.6011
1914,-0.25945833333333335,-0.0708,-0.4009
1915,-0.19057500000000002,-0.0641,-0.3525
1916,-0.4202333333333333,-0.2649,-0.8117
1917,-0.5438999999999999,-0.2575,-0.7875
1918,-0.42604166666666665,-0.1172,-0.6766
1919,-0.3324,-0.2093,-0.561
1920,-0.30439166666666667,-0.1686,-0.5446
1921,-0.24139999999999998,-0.1293,-0.3482
1922,-0.33813333333333334,-0.2544,-0.4678
1923,-0.31455,-0.0251,-0.4884
1924,-0.30850833333333333,-0.1775,-0.49
1925,-0.2796,0.0186,-0.4845
1926,-0.12211666666666667,0.0818,-0.3168
1927,-0.22583333333333333,-0.0214,-0.4084
1928,-0.208425,-0.0248,-0.3324
1929,-0.39031666666666665,-0.1371,-0.6011
1930,-0.169875,0.069,-0.3582
1931,-0.105825,-0.0103,-0.2538
1932,-0.14999166666666666,0.0702,-0.2959
1933,-0.32831666666666665,-0.154,-0.5148
1934,-0.17705833333333332,0.0356,-0.4294
1935,-0.21285833333333334,0.0407,-0.3574
1936,-0.170975,-0.0399,-0.3934
1937,-0.01605,0.1475,-0.2616
1938,-0.012883333333333332,0.1658,-0.1983
1939,-0.041808333333333336,0.3372,-0.2948
1940,0.07381666666666667,0.2,-0.0468
1941,0.034333333333333334,0.2104,-0.1468
1942,-0.0005166666666666676,0.2497,-0.0926
1943,0.006358333333333333,0.2303,-0.191
1944,0.144625,0.3245,0.044
1945,0.04289166666666666,0.2379,-0.2013
